PlantType,GSRN,MainEnergy,PriceArea,MunicipalityCode,MeasurepointChildType,MeasurepointType,ProductType,Qnt,TimestampUTC,_dp_datetime_utc
null,null,null,DK2,223,E18,E18,null,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,230,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,240,E18,E18,null,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,250,E18,E18,null,0.49,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,253,E18,E18,null,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,259,E18,E18,null,0.02,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,260,E18,E18,null,1.34,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,265,E18,E18,null,0.01,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,270,E18,E18,null,11.61,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,306,E18,E18,null,15.944,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,316,E18,E18,null,1.657,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,320,E18,E18,null,0.253,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,320,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,326,E18,E18,null,37.423,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,329,E18,E18,null,0.361,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,330,E18,E18,null,6.864,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,330,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,336,E18,E18,null,0.002,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,340,E18,E18,null,0.32,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,350,E18,E18,null,1.24,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,360,E18,E18,null,0.199,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,360,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,370,E18,E18,null,0.094,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,370,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,376,E18,E18,null,0.585,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,390,E18,E18,null,4.782,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,400,E18,E18,null,65.01,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,400,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,999,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,570715000001573322,null,DK1,751,E18,E18,null,0.12,2021-08-01T00:00:00.000Z,1627776000000
null,571313144500822000,null,DK1,580,E18,E18,null,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570714700010000109,Træpiller,DK2,167,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570714700010000215,Halm,DK2,390,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570714700010005012,Træpiller,DK2,167,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000066207,Skovflis,DK1,730,E18,E18,CEN,2456.88,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070815,Stenkul,DK1,461,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070822,Stenkul,DK1,751,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070839,Stenkul,DK1,751,E18,E18,CEN,220049.508,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070846,Gasolie,DK1,751,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070860,Stenkul,DK1,851,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070907,Skovflis,DK1,607,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070914,Stenkul,DK1,561,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000070921,Skovflis,DK1,657,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000080128,Naturgas,DK2,390,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081422,Diesel,DK2,400,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081903,Træpiller,DK2,101,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081927,Stenkul,DK2,101,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081934,Stenkul,DK2,326,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081958,Stenkul,DK2,326,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081965,Stenkul,DK2,330,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081972,Stenkul,DK2,330,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000081996,Naturgas,DK2,101,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000082009,Naturgas,DK2,101,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000082016,Naturgas,DK2,101,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
